service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
251875_7952,1,1,1,1,1,0,0,20240426,20241231
251875_7953,0,0,0,0,0,1,0,20240426,20241231
251875_7954,0,0,0,0,0,0,1,20240426,20241231
250785_7952,1,1,1,1,1,0,0,20240426,20241231
250785_7953,0,0,0,0,0,1,0,20240426,20241231
250785_7954,0,0,0,0,0,0,1,20240426,20241231
245270_7952,1,1,1,1,1,0,0,20240426,20241231
245270_7953,0,0,0,0,0,1,0,20240426,20241231
245270_7954,0,0,0,0,0,0,1,20240426,20241231
245271_7952,1,1,1,1,1,0,0,20240426,20241231
245271_7953,0,0,0,0,0,1,0,20240426,20241231
245271_7954,0,0,0,0,0,0,1,20240426,20241231
239844_7952,1,1,1,1,1,0,0,20240426,20241231
239844_7953,0,0,0,0,0,1,0,20240426,20241231
239844_7954,0,0,0,0,0,0,1,20240426,20241231
243901_7952,1,1,1,1,1,0,0,20240426,20241231
243901_7953,0,0,0,0,0,1,0,20240426,20241231
243901_7954,0,0,0,0,0,0,1,20240426,20241231
243895_7952,1,1,1,1,1,0,0,20240426,20241231
243895_7953,0,0,0,0,0,1,0,20240426,20241231
243895_7954,0,0,0,0,0,0,1,20240426,20241231
245267_7952,1,1,1,1,1,0,0,20240426,20241231
245267_7953,0,0,0,0,0,1,0,20240426,20241231
239858_7952,1,1,1,1,1,0,0,20240426,20241231
239858_7953,0,0,0,0,0,1,0,20240426,20241231
239858_7954,0,0,0,0,0,0,1,20240426,20241231
245265_7952,1,1,1,1,1,0,0,20240426,20241231
245265_7953,0,0,0,0,0,1,0,20240426,20241231
251881_7952,1,1,1,1,1,0,0,20240426,20241231
251881_7953,0,0,0,0,0,1,0,20240426,20241231
251881_7954,0,0,0,0,0,0,1,20240426,20241231
234483_7952,1,1,1,1,1,0,0,20240426,20241231
234483_7953,0,0,0,0,0,1,0,20240426,20241231
234483_7954,0,0,0,0,0,0,1,20240426,20241231
250338_7952,1,1,1,1,1,0,0,20240426,20241231
250338_7953,0,0,0,0,0,1,0,20240426,20241231
250338_7954,0,0,0,0,0,0,1,20240426,20241231
250323_7952,1,1,1,1,1,0,0,20240426,20241231
250323_7953,0,0,0,0,0,1,0,20240426,20241231
250323_7954,0,0,0,0,0,0,1,20240426,20241231
245262_7952,1,1,1,1,1,0,0,20240426,20241231
245262_7953,0,0,0,0,0,1,0,20240426,20241231
245262_7954,0,0,0,0,0,0,1,20240426,20241231
251886_7952,1,1,1,1,1,0,0,20240426,20241231
251886_7953,0,0,0,0,0,1,0,20240426,20241231
251886_7954,0,0,0,0,0,0,1,20240426,20241231
250342_7952,1,1,1,1,1,0,0,20240426,20241231
250342_7953,0,0,0,0,0,1,0,20240426,20241231
250342_7954,0,0,0,0,0,0,1,20240426,20241231
239855_7952,1,1,1,1,1,0,0,20240426,20241231
239855_7953,0,0,0,0,0,1,0,20240426,20241231
239855_7954,0,0,0,0,0,0,1,20240426,20241231
248003_7952,1,1,1,1,1,0,0,20240426,20241231
248003_7953,0,0,0,0,0,1,0,20240426,20241231
248003_7954,0,0,0,0,0,0,1,20240426,20241231
250782_7952,1,1,1,1,1,0,0,20240426,20241231
250782_7953,0,0,0,0,0,1,0,20240426,20241231
250782_7954,0,0,0,0,0,0,1,20240426,20241231
243909_7952,1,1,1,1,1,0,0,20240426,20241231
243909_7953,0,0,0,0,0,1,0,20240426,20241231
243909_7954,0,0,0,0,0,0,1,20240426,20241231
251877_7952,1,1,1,1,1,0,0,20240426,20241231
251877_7953,0,0,0,0,0,1,0,20240426,20241231
251877_7954,0,0,0,0,0,0,1,20240426,20241231
245259_7952,1,1,1,1,1,0,0,20240426,20241231
245259_7953,0,0,0,0,0,1,0,20240426,20241231
