service_id,date,exception_type
251875_7952,20241225,2
251875_7952,20241226,2
251875_7952,20240530,2
251875_7952,20241101,2
251875_7952,20241111,2
251875_7952,20240815,2
251875_7952,20240503,2
251875_7952,20240501,2
251875_7954,20241225,1
251875_7954,20241226,1
251875_7954,20240530,1
251875_7954,20241101,1
251875_7954,20241111,1
251875_7954,20240815,1
251875_7954,20240503,1
251875_7954,20240501,1
250785_7952,20241225,2
250785_7952,20241226,2
250785_7952,20240530,2
250785_7952,20241101,2
250785_7952,20241111,2
250785_7952,20240815,2
250785_7952,20240503,2
250785_7952,20240501,2
250785_7954,20241225,1
250785_7954,20241226,1
250785_7954,20240530,1
250785_7954,20241101,1
250785_7954,20241111,1
250785_7954,20240815,1
250785_7954,20240503,1
250785_7954,20240501,1
245270_7952,20241225,2
245270_7952,20241226,2
245270_7952,20240530,2
245270_7952,20241101,2
245270_7952,20241111,2
245270_7952,20240815,2
245270_7952,20240503,2
245270_7952,20240501,2
245270_7954,20241225,1
245270_7954,20241226,1
245270_7954,20240530,1
245270_7954,20241101,1
245270_7954,20241111,1
245270_7954,20240815,1
245270_7954,20240503,1
245270_7954,20240501,1
245271_7952,20241225,2
245271_7952,20241226,2
245271_7952,20240530,2
245271_7952,20241101,2
245271_7952,20241111,2
245271_7952,20240815,2
245271_7952,20240503,2
245271_7952,20240501,2
245271_7954,20241225,1
245271_7954,20241226,1
245271_7954,20240530,1
245271_7954,20241101,1
245271_7954,20241111,1
245271_7954,20240815,1
245271_7954,20240503,1
245271_7954,20240501,1
239844_7952,20241225,2
239844_7952,20241226,2
239844_7952,20240530,2
239844_7952,20241101,2
239844_7952,20241111,2
239844_7952,20240815,2
239844_7952,20240503,2
239844_7952,20240501,2
239844_7954,20241225,1
239844_7954,20241226,1
239844_7954,20240530,1
239844_7954,20241101,1
239844_7954,20241111,1
239844_7954,20240815,1
239844_7954,20240503,1
239844_7954,20240501,1
243901_7952,20241225,2
243901_7952,20241226,2
243901_7952,20240530,2
243901_7952,20241101,2
243901_7952,20241111,2
243901_7952,20240815,2
243901_7952,20240503,2
243901_7952,20240501,2
243901_7954,20241225,1
243901_7954,20241226,1
243901_7954,20240530,1
243901_7954,20241101,1
243901_7954,20241111,1
243901_7954,20240815,1
243901_7954,20240503,1
243901_7954,20240501,1
243895_7952,20241225,2
243895_7952,20241226,2
243895_7952,20240530,2
243895_7952,20241101,2
243895_7952,20241111,2
243895_7952,20240815,2
243895_7952,20240503,2
