service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,1,1,20240616,20240630
2,1,1,1,1,1,1,1,20240616,20240630
3,1,1,1,1,1,1,1,20240616,20240630
4,1,1,1,1,1,1,1,20240616,20240630
5,1,1,1,1,1,1,1,20240616,20240630
6,1,1,1,1,1,1,1,20240616,20240630
7,1,1,1,1,1,1,1,20240616,20240630
8,1,1,1,1,1,1,1,20240616,20240630
9,1,1,1,1,1,1,1,20240616,20240630
10,1,1,1,1,1,1,1,20240616,20240630
11,1,1,1,1,1,1,1,20240616,20240630
12,1,1,1,1,1,1,1,20240616,20240630
13,1,1,1,1,1,1,1,20240616,20240630
14,1,1,1,1,1,1,1,20240616,20240630
15,1,1,1,1,1,1,1,20240616,20240630
16,1,1,1,1,1,1,1,20240616,20240630
17,1,1,1,1,1,1,1,20240616,20240630
18,1,1,1,1,1,1,1,20240616,20240630
19,1,1,1,1,1,1,1,20240616,20240630
20,1,1,1,1,1,1,1,20240616,20240630
21,1,1,1,1,1,1,1,20240616,20240630
22,1,1,1,1,1,1,1,20240616,20240630
23,1,1,1,1,1,1,1,20240616,20240630
24,1,1,1,1,1,1,1,20240616,20240630
25,1,1,1,1,1,1,1,20240616,20240630
26,1,1,1,1,1,1,1,20240616,20240630
27,1,1,1,1,1,1,1,20240616,20240630
28,1,1,1,1,1,1,1,20240616,20240630
29,1,1,1,1,1,1,1,20240616,20240630
30,1,1,1,1,1,1,1,20240616,20240630
31,1,1,1,1,1,1,1,20240616,20240630
32,1,1,1,1,1,1,1,20240616,20240630
33,1,1,1,1,1,1,1,20240616,20240630
34,1,1,1,1,1,1,1,20240616,20240630
35,1,1,1,1,1,1,1,20240616,20240630
36,1,1,1,1,1,1,1,20240616,20240630
37,1,1,1,1,1,1,1,20240616,20240630
38,1,1,1,1,1,1,1,20240616,20240630
39,1,1,1,1,1,1,1,20240616,20240630
40,1,1,1,1,1,1,1,20240616,20240630
41,1,1,1,1,1,1,1,20240616,20240630
42,1,1,1,1,1,1,1,20240616,20240630
43,1,1,1,1,1,1,1,20240616,20240630
44,1,1,1,1,1,1,1,20240616,20240630
45,1,1,1,1,1,1,1,20240616,20240630
46,1,1,1,1,1,1,1,20240616,20240630
47,1,1,1,1,1,1,1,20240616,20240630
48,1,1,1,1,1,1,1,20240616,20240630
49,1,1,1,1,1,1,1,20240616,20240630
50,1,1,1,1,1,1,1,20240616,20240630
51,1,1,1,1,1,1,1,20240616,20240630
52,1,1,1,1,1,1,1,20240616,20240630
53,1,1,1,1,1,1,1,20240616,20240630
54,1,1,1,1,1,1,1,20240616,20240630
55,1,1,1,1,1,1,1,20240616,20240630
56,1,1,1,1,1,1,1,20240616,20240630
57,1,1,1,1,1,1,1,20240616,20240630
58,1,1,1,1,1,1,1,20240616,20240630
59,1,1,1,1,1,1,1,20240616,20240630
60,1,1,1,1,1,1,1,20240616,20240630
61,1,1,1,1,1,1,1,20240616,20240630
62,1,1,1,1,1,1,1,20240616,20240630
63,1,1,1,1,1,1,1,20240616,20240630
64,1,1,1,1,1,1,1,20240616,20240630
65,1,1,1,1,1,1,1,20240616,20240630
66,1,1,1,1,1,1,1,20240616,20240630
67,1,1,1,1,1,1,1,20240616,20240630
68,1,1,1,1,1,1,1,20240616,20240630
69,1,1,1,1,1,1,1,20240616,20240630
70,1,1,1,1,1,1,1,20240616,20240630
71,1,1,1,1,1,1,1,20240616,20240630
72,1,1,1,1,1,1,1,20240616,20240630
73,1,1,1,1,1,1,1,20240616,20240630
74,1,1,1,1,1,1,1,20240616,20240630
75,1,1,1,1,1,1,1,20240616,20240630
76,1,1,1,1,1,1,1,20240616,20240630
77,1,1,1,1,1,1,1,20240616,20240630
78,1,1,1,1,1,1,1,20240616,20240630
79,1,1,1,1,1,1,1,20240616,20240630
80,1,1,1,1,1,1,1,20240616,20240630
81,1,1,1,1,1,1,1,20240616,20240630
82,1,1,1,1,1,1,1,20240616,20240630
83,1,1,1,1,1,1,1,20240616,20240630
84,1,1,1,1,1,1,1,20240616,20240630
85,1,1,1,1,1,1,1,20240616,20240630
86,1,1,1,1,1,1,1,20240616,20240630
87,1,1,1,1,1,1,1,20240616,20240630
88,1,1,1,1,1,1,1,20240616,20240630
89,1,1,1,1,1,1,1,20240616,20240630
90,1,1,1,1,1,1,1,20240616,20240630
91,1,1,1,1,1,1,1,20240616,20240630
92,1,1,1,1,1,1,1,20240616,20240630
93,1,1,1,1,1,1,1,20240616,20240630
94,1,1,1,1,1,1,1,20240616,20240630
95,1,1,1,1,1,1,1,20240616,20240630
96,1,1,1,1,1,1,1,20240616,20240630
97,1,1,1,1,1,1,1,20240616,20240630
98,1,1,1,1,1,1,1,20240616,20240630
99,1,1,1,1,1,1,1,20240616,20240630
100,1,1,1,1,1,1,1,20240616,20240630
101,1,1,1,1,1,1,1,20240616,20240630
102,1,1,1,1,1,1,1,20240616,20240630
103,1,1,1,1,1,1,1,20240616,20240630
104,1,1,1,1,1,1,1,20240616,20240630
105,1,1,1,1,1,1,1,20240616,20240630
106,1,1,1,1,1,1,1,20240616,20240630
107,1,1,1,1,1,1,1,20240616,20240630
108,1,1,1,1,1,1,1,20240616,20240630
109,1,1,1,1,1,1,1,20240616,20240630
110,1,1,1,1,1,1,1,20240616,20240630
111,1,1,1,1,1,1,1,20240616,20240630
112,1,1,1,1,1,1,1,20240616,20240630
113,1,1,1,1,1,1,1,20240616,20240630
114,1,1,1,1,1,1,1,20240616,20240630
115,1,1,1,1,1,1,1,20240616,20240630
116,1,1,1,1,1,1,1,20240616,20240630
117,1,1,1,1,1,1,1,20240616,20240630
118,1,1,1,1,1,1,1,20240616,20240630
119,1,1,1,1,1,1,1,20240616,20240630
120,1,1,1,1,1,1,1,20240616,20240630
121,1,1,1,1,1,1,1,20240616,20240630
122,1,1,1,1,1,1,1,20240616,20240630
123,1,1,1,1,1,1,1,20240616,20240630
124,1,1,1,1,1,1,1,20240616,20240630
125,1,1,1,1,1,1,1,20240616,20240630
126,1,1,1,1,1,1,1,20240616,20240630
127,1,1,1,1,1,1,1,20240616,20240630
128,1,1,1,1,1,1,1,20240616,20240630
129,1,1,1,1,1,1,1,20240616,20240630
130,1,1,1,1,1,1,1,20240616,20240630
131,1,1,1,1,1,1,1,20240616,20240630
132,1,1,1,1,1,1,1,20240616,20240630
133,1,1,1,1,1,1,1,20240616,20240630
134,1,1,1,1,1,1,1,20240616,20240630
135,1,1,1,1,1,1,1,20240616,20240630
136,1,1,1,1,1,1,1,20240616,20240630
137,1,1,1,1,1,1,1,20240616,20240630
138,1,1,1,1,1,1,1,20240616,20240630
139,1,1,1,1,1,1,1,20240616,20240630
140,1,1,1,1,1,1,1,20240616,20240630
141,1,1,1,1,1,1,1,20240616,20240630
142,1,1,1,1,1,1,1,20240616,20240630
143,1,1,1,1,1,1,1,20240616,20240630
144,1,1,1,1,1,1,1,20240616,20240630
145,1,1,1,1,1,1,1,20240616,20240630
146,1,1,1,1,1,1,1,20240616,20240630
147,1,1,1,1,1,1,1,20240616,20240630
148,1,1,1,1,1,1,1,20240616,20240630
149,1,1,1,1,1,1,1,20240616,20240630
150,1,1,1,1,1,1,1,20240616,20240630
151,1,1,1,1,1,1,1,20240616,20240630
152,1,1,1,1,1,1,1,20240616,20240630
153,1,1,1,1,1,1,1,20240616,20240630
154,1,1,1,1,1,1,1,20240616,20240630
155,1,1,1,1,1,1,1,20240616,20240630
156,1,1,1,1,1,1,1,20240616,20240630
157,1,1,1,1,1,1,1,20240616,20240630
158,1,1,1,1,1,1,1,20240616,20240630
159,1,1,1,1,1,1,1,20240616,20240630
160,1,1,1,1,1,1,1,20240616,20240630
161,1,1,1,1,1,1,1,20240616,20240630
162,1,1,1,1,1,1,1,20240616,20240630
163,1,1,1,1,1,1,1,20240616,20240630
164,1,1,1,1,1,1,1,20240616,20240630
165,1,1,1,1,1,1,1,20240616,20240630
166,1,1,1,1,1,1,1,20240616,20240630
167,1,1,1,1,1,1,1,20240616,20240630
