route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
SKA3,2023_2024_945871,2023_2024_945871,,30778/9 SKA3,,,,
SKA3,2023_2024_946056,2023_2024_946056,,30754/5 SKA3,,,,
SKA3,2023_2024_946092,2023_2024_946092,,30710/1 SKA3,,,,
SKA2,2023_2024_943774,2023_2024_943774,,39562 SKA2,,,,
SKA2,2023_2024_1116715,2023_2024_1116715,,33865 SKA2,,,,
SKA3,2023_2024_946386,2023_2024_946386,,33474/5 SKA3,,,,
SKA3,2023_2024_1116433,2023_2024_1116433,,33409 SKA3,,,,
SKA2,2023_2024_1116489,2023_2024_1116489,,39574 SKA2,,,,
SKA3,2023_2024_931244,2023_2024_931244,,33431 SKA3,,,,
SKA2,2023_2024_944540,2023_2024_944540,,39586 SKA2,,,,
SKA2,2023_2024_1116277,2023_2024_1116277,,32566 SKA2,,,,
SKA2,2023_2024_931418,2023_2024_931418,,32828 SKA2,,,,
SKA2,2023_2024_1116712,2023_2024_1116712,,33865 SKA2,,,,
SKA3,2023_2024_944527,2023_2024_944527,,30782/3 SKA3,,,,
SKA3,2023_2024_945640,2023_2024_945640,,30778/9 SKA3,,,,
SKA1,2023_2024_441357,2023_2024_441357,,33216/7 SKA1,,,,
SKA2,2023_2024_1116659,2023_2024_1116659,,32576 SKA2,,,,
SKA2,2023_2024_943183,2023_2024_943183,,39570 SKA2,,,,
SKA2,2023_2024_978232,2023_2024_978232,,32834 SKA2,,,,
SKA1,2023_2024_930107,2023_2024_930107,,33336/7 SKA1,,,,
SKA1,2023_2024_930053,2023_2024_930053,,33320/1 SKA1,,,,
SKA2,2023_2024_459979,2023_2024_459979,,33861 SKA2,,,,
SKA1,2023_2024_930741,2023_2024_930741,,33332/3 SKA1,,,,
SKA1,2023_2024_930080,2023_2024_930080,,33220/1 SKA1,,,,
SKA1,2023_2024_445001,2023_2024_445001,,33330/1 SKA1,,,,
SKA3,2023_2024_931125,2023_2024_931125,,33431 SKA3,,,,
SKA3,2023_2024_945667,2023_2024_945667,,30738/9 SKA3,,,,
KML,2023_2024_991005,2023_2024_991005,,33580/1 KML,,,,
SKA2,2023_2024_1116802,2023_2024_1116802,,33806 SKA2,,,,
SKA1,2023_2024_444902,2023_2024_444902,,33210/1 SKA1,,,,
SKA3,2023_2024_943430,2023_2024_943430,,33464 SKA3,,,,
SKA1,2023_2024_931152,2023_2024_931152,,33218/9 SKA1,,,,
SKA2,2023_2024_444597,2023_2024_444597,,32556 SKA2,,,,
SKA2,2023_2024_441829,2023_2024_441829,,39552 SKA2,,,,
SKA3,2023_2024_445153,2023_2024_445153,,30738/9 SKA3,,,,
SKA2,2023_2024_944023,2023_2024_944023,,39523 SKA2,,,,
SKA3,2023_2024_946124,2023_2024_946124,,30768/9 SKA3,,,,
SKA2,2023_2024_448134,2023_2024_448134,,33865 SKA2,,,,
SKA1,2023_2024_930044,2023_2024_930044,,33304/5 SKA1,,,,
SKA2,2023_2024_931138,2023_2024_931138,,23843 SKA2,,,,
SKA3,2023_2024_944671,2023_2024_944671,,30716/7 SKA3,,,,
SKA3,2023_2024_945555,2023_2024_945555,,30708/9 SKA3,,,,
SKA3,2023_2024_945656,2023_2024_945656,,30738/9 SKA3,,,,
SKA1,2023_2024_930032,2023_2024_930032,,33301 SKA1,,,,
SKA1,2023_2024_930273,2023_2024_930273,,33320/1 SKA1,,,,
SKA3,2023_2024_944840,2023_2024_944840,,30776/7 SKA3,,,,
SKA3,2023_2024_945001,2023_2024_945001,,33404/5 SKA3,,,,
BELIANSKY EXPRESS,2023_2024_609150,2023_2024_609150,,8363 BELIANSKY EXPRESS,,,,
SKA3,2023_2024_945574,2023_2024_945574,,30766/7 SKA3,,,,
SKA3,2023_2024_943919,2023_2024_943919,,33468 SKA3,,,,
SKA3,2023_2024_444527,2023_2024_444527,,33456 SKA3,,,,
SKA1,2023_2024_930631,2023_2024_930631,,33216/7 SKA1,,,,
SKA2,2023_2024_931136,2023_2024_931136,,23843 SKA2,,,,
SKA2,2023_2024_943721,2023_2024_943721,,33861 SKA2,,,,
SKA2,2023_2024_1114920,2023_2024_1114920,,23841 SKA2,,,,
SKA2,2023_2024_1116230,2023_2024_1116230,,39511 SKA2,,,,
SKA3,2023_2024_448373,2023_2024_448373,,33419 SKA3,,,,
SKA3,2023_2024_445280,2023_2024_445280,,33407 SKA3,,,,
SKA3,2023_2024_946389,2023_2024_946389,,33474/5 SKA3,,,,
SKA1,2023_2024_444905,2023_2024_444905,,33218/9 SKA1,,,,
SKA2,2023_2024_931132,2023_2024_931132,,23843 SKA2,,,,
SKA3,2023_2024_946009,2023_2024_946009,,30754/5 SKA3,,,,
SKA2,2023_2024_945257,2023_2024_945257,,23855 SKA2,,,,
SKA2,2023_2024_944496,2023_2024_944496,,39586 SKA2,,,,
SKA2,2023_2024_444599,2023_2024_444599,,32556 SKA2,,,,
SKA3,2023_2024_943473,2023_2024_943473,,33482/3 SKA3,,,,
SKA1,2023_2024_441600,2023_2024_441600,,33206/7 SKA1,,,,
SKA2,2023_2024_1116697,2023_2024_1116697,,39570 SKA2,,,,
SKA2,2023_2024_943207,2023_2024_943207,,39584 SKA2,,,,
