route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
244,,A39,Zaczarnie - Brzozówka - Tarnów-A39,,3,,000000,F5F5F5
315,,A38,Tarnów - Lisia Góra - Nowa Jastrząbka-A38,,3,,000000,F5F5F5
161,,A27,Zawada - Tarnów-A27,,3,,000000,F5F5F5
233,,A28,Tarnów - Poręba Radlna - Piotrkowice p. Łękawka Kościół-A28,,3,,FAC08F,282828
167,,A29,Tarnów - Zgłobice - Tarnów-A29,,3,,000000,F5F5F5
316,,A50,Proszowice - Nowe Brzesko - Kraków-A50,,3,,00DA61,282828
307,,A1,Myślenice - Mogilany - Kraków-A1,,3,,F00000,F5F5F5
259,,A43,Skawina - Przytkowice - Kalwaria Zebrzydowska-A43,,3,,000000,F5F5F5
336,,A12,Kraków - Trzyciąż - Olkusz-A12,,3,,92CDDC,282828
237,,A23,Tarnów - Gorlice - Wysowa Zdrój-A23,,3,,000000,F5F5F5
291,,A7,Podłęże - Niepołomice - Proszowice-A7,,3,,17365D,F5F5F5
258,,A21,Nowy Sącz- Stary Sącz - Łącko - Ochotnica Górna - Nowy Targ-A21,,3,,000000,F5F5F5
18,,A8,Dobczyce - Raciborsko - Wieliczka-A8,,3,,000000,F5F5F5
280,,A6,Łapanów - Dobranowice - Wieliczka-A6,,3,,B8CCE4,282828
225,,A22,Nowy Sącz - Zakliczyn - Wojnicz - Tarnów-A22,,3,,000000,F5F5F5
324,,A25,Andrychów - Zator - Smolice-A25,,3,,000000,F5F5F5
245,,A10,Krzeszowice - Gorenice - Olkusz-A10,,3,,000000,F5F5F5
210,,A3,Bochnia - Nowy Wiśnicz - Limanowa-A3,,3,,000000,F5F5F5
295,,A2,Wieliczka - Świątniki Górne - Myślenice-A2,,3,,E36C09,282828
303,,A37,Podłęże - Wawrzeńczyce - Proszowice-A37,,3,,000000,F5F5F5
208,,A24,Tarnów - Zbylitowska Góra - Tarnów (Mościce)-A24,,3,,000000,F5F5F5
320,,A50,Kraków - Nowe Brzesko - Proszowice-A50,,3,,00EE6A,282828
186,,A16,Wieliczka - Zakliczyn - Myślenice-A16,,3,,B2A2C7,282828
19,,A8,Wieliczka - Raciborsko - Dobczyce-A8,,3,,938953,282828
318,,A34,Jodłówka - Wałki - Wola Rzędzińska - Tarnów-A34,,3,,548DD4,282828
249,,A28,Piotrkowice p.Łękawka Kościół - Poręba Radlna - Tarnów-A28,,3,,E36C09,282828
332,,A44,Kraków - Baczyn - Alwernia-A44,,3,,000000,F5F5F5
109,,A18,Siedlec - Książnice - Wieliczka-A18,,3,,000000,F5F5F5
185,,A16,Myślenice -Zakliczyn - Wieliczka-A16,,3,,5F497A,F5F5F5
314,,A38,Nowa Jastrząbka - Lisia Góra - Tarnów-A38,,3,,000000,F5F5F5
144,,A32,Szczepanowice - Zgłobice - Tarnów-A32,,3,,000000,F5F5F5
228,,A10,Olkusz - Gorenice - Krzeszowice-A10,,3,,000000,F5F5F5
290,,A2,Myślenice - Świątniki Górne - Wieliczka-A2,,3,,E36C09,282828
23,,A17,Wieliczka - Dobczyce - Szczyrzyc -A17,,3,,DDD9C3,282828
267,,A5,Brzesko - Szczurowa - Wietrzychowice-A5,,3,,000000,F5F5F5
256,,A22,Tarnów - Wojnicz - Zakliczyn - Nowy Sącz-A22,,3,,000000,F5F5F5
335,,A44,Alwernia - Baczyn - Kraków-A44,,3,,000000,F5F5F5
326,,A40,Kraków - Wadowice - Kęty-A40,,3,,F0E68C,282828
255,,A34,Tarnów - Wola Rzędzińska - Wałki - Jodłówka-A34,,3,,8DB3E2,282828
330,,A46,Ryglice - Skrzyszów - Tarnów-A46,,3,,000000,F5F5F5
323,,A25,Smolice- Zator - Andrychów-A25,,3,,000000,F5F5F5
180,,A1,Kraków - Mogilany - Myślenice-A1,,3,,F00000,F5F5F5
232,,A39,Tarnów - Brzozówka - Zaczarnie-A39,,3,,000000,F5F5F5
209,,A24,Tarnów (Mościce) - Zbylitowska Góra - Tarnów-A24,,3,,000000,F5F5F5
24,,A9,Limanowa - Dobra - Dobczyce - Wieliczka-A9,,3,,4F81BD,F5F5F5
337,,A12,Olkusz - Trzyciąż - Kraków-A12,,3,,22D6E1,282828
313,,A35,Jodłówka - Wałki P/POLMARK - Górówka - Wola Rzędzińska - Tarnów-A35,,3,,000000,F5F5F5
217,,A3,Limanowa - Nowy Wiśnicz - Bochnia-A3,,3,,000000,F5F5F5
151,,A32,Tarnów - Zgłobice - Szczepanowice-A32,,3,,000000,F5F5F5
275,,A6,Wieliczka - Dobranowice - Łapanów-A6,,3,,D99694,282828
341,,A43,Kalwaria Zebrzydowska - Przytkowice - Skawina-A43,,3,,000000,F5F5F5
241,,A35,Tarnów - Wola Rzędzińska - Górówka - Jadłówka - Wałki P/POLMARK-A35,,3,,000000,F5F5F5
147,,A31,Tarnów - Tarnowiec - Świebodzin-A31,,3,,000000,F5F5F5
250,,A32,Tarnów - Zgłobice Hotel Dunajec - Szczepanowice-A32,,3,,000000,F5F5F5
150,,A33,Lichwin - Pleśna - Tarnów-A33,,3,,000000,F5F5F5
271,,A5,Wietrzychowice - Szczurowa - Brzesko-A5,,3,,000000,F5F5F5
240,,A36,Łukowa - Śmigno - Tarnów-A36,,3,,000000,F5F5F5
288,,A7,Chobot - Niepołomice - Podłęże-A7,,3,,548DD4,282828
297,,A14,Kraków - Czernichów - Spytkowice (Objazd)-A14,,3,,000000,F5F5F5
253,,A32,Szczepanowice - Zgłobice Hotel Dunajec - Tarnów-A32,,3,,000000,F5F5F5
299,,A7,Podłęże - Niepołomice - Chobot-A7,,3,,17365D,F5F5F5
302,,A7,Proszowice - Niepołomice - Podłęże-A7,,3,,548DD4,282828
168,,A15,Bukowina - Trstena-A15,,3,,000000,F5F5F5
292,,A37,Proszowice - Wawrzeńczyce - Podłęże-A37,,3,,000000,F5F5F5
262,,A21,Nowy Targ - Ochotnica Górna - Łącko - Stary Sącz - Nowy Sącz-A21,,3,,000000,F5F5F5
128,,A31,Świebodzin - Tarnowiec - Tarnów-A31,,3,,000000,F5F5F5
304,,A13,Olkusz - Sułoszowa - Kraków-A13,,3,,595959,F5F5F5
171,,A27,Tarnów - Zawada-A27,,3,,000000,F5F5F5
22,,A17,Szczyrzyc - Dobczyce - Wieliczka-A17,,3,,8DB3E2,282828
