from_stop_id,to_stop_id,transfer_type,min_transfer_time
2388,2520,2,60
2520,2521,2,60
2521,2522,2,120
2522,2523,2,60
2523,2524,2,60
2524,2525,2,60
2525,2526,2,60
2526,2527,2,60
2527,2379,2,300
2379,2423,2,60
2423,2424,2,60
2424,2425,2,60
2425,2426,2,60
2426,2427,2,120
2427,2039,2,120
2039,2037,2,120
2037,1523,2,180
1523,2274,2,120
2274,1271,2,120
1271,2063,2,240
2063,2064,2,60
2064,2065,2,60
2065,2066,2,120
2066,2275,2,120
2275,2376,2,60
2376,2377,2,60
2377,2378,2,60
2378,2379,2,120
2379,2428,2,300
2428,2429,2,60
2429,2430,2,180
2430,2431,2,60
2431,2432,2,60
2432,2433,2,60
2433,2434,2,60
2434,2435,2,60
2435,2436,2,120
2436,2437,2,120
2437,2438,2,60
2438,2439,2,60
2439,2440,2,120
2440,2817,2,60
2817,2441,2,60
2441,2442,2,60
2442,2443,2,60
2443,2444,2,120
2444,2445,2,120
2445,2404,2,60
2133,2134,2,60
2134,2135,2,60
2135,2136,2,120
2136,2137,2,120
2137,1457,2,60
1457,1458,2,60
1458,1459,2,120
1459,1460,2,120
1460,1461,2,60
1461,1462,2,60
1462,1463,2,60
1271,1272,2,120
1272,1273,2,180
1273,1274,2,120
1274,1275,2,60
1275,1276,2,60
1276,1277,2,60
1277,1278,2,60
1278,1279,2,60
1279,1280,2,60
1280,1281,2,60
1281,1282,2,60
1282,1283,2,60
1283,1284,2,60
1284,2138,2,120
2138,2139,2,120
2139,2140,2,120
2140,1285,2,60
1285,1286,2,60
1286,1287,2,60
2038,2039,2,120
1523,1524,2,180
1524,1525,2,60
1525,1526,2,60
1526,2040,2,60
2040,2041,2,60
2041,2042,2,60
2042,2043,2,60
2043,2171,2,60
2171,2172,2,60
2172,2173,2,60
2173,2174,2,60
2174,2175,2,60
2175,2176,2,60
2176,2053,2,60
2053,2177,2,60
2177,2178,2,60
2178,2179,2,60
2179,2180,2,60
2180,2181,2,120
2181,2182,2,60
2182,2183,2,60
2183,2184,2,60
2184,2185,2,60
2185,2186,2,60
2186,2060,2,60
2060,2061,2,60
2061,2062,2,60
2062,1643,2,60
1643,1644,2,60
1644,1645,2,60
1645,1646,2,60
1646,1271,2,120
2066,2038,2,60
2324,2325,2,120
2325,2326,2,60
2326,2719,2,120
2719,57,2,120
57,58,2,60
58,59,2,120
59,60,2,180
60,61,2,120
61,62,2,60
62,63,2,60
63,64,2,60
64,65,2,120
65,66,2,120
66,2818,2,120
2818,2819,2,60
2819,2820,2,120
2820,2821,2,60
2821,2822,2,60
2822,2823,2,60
2823,2336,2,120
2336,2337,2,120
2337,2338,2,120
2338,2339,2,60
2339,2340,2,60
2340,2341,2,60
2341,2342,2,60
2342,2343,2,60
2343,2824,2,120
2824,2825,2,120
2825,2826,2,60
2826,2827,2,120
2827,2828,2,120
2828,2829,2,60
2829,2830,2,60
2830,2831,2,60
2831,2832,2,60
2832,2833,2,60
2833,2834,2,60
2834,2835,2,120
2835,2836,2,60
2836,2837,2,60
2837,2838,2,120
2838,2839,2,60
2839,2840,2,120
2840,2841,2,60
2841,2842,2,60
2842,2843,2,60
294,1204,2,180
1204,1203,2,180
1203,295,2,180
295,1205,2,120
1205,1206,2,120
1206,1208,2,120
1208,1209,2,60
1209,1210,2,120
1210,1211,2,120
1211,1212,2,180
1212,1213,2,60
1213,1214,2,120
1214,1215,2,120
1215,1216,2,180
1216,1217,2,120
1217,1218,2,60
1218,1219,2,120
1219,1220,2,120
1220,1221,2,60
1221,2238,2,60
2238,2239,2,60
2239,1222,2,60
1222,1223,2,60
1223,1224,2,60
1224,1790,2,120
1790,1225,2,120
1225,1226,2,180
1226,1227,2,60
1227,1228,2,180
1228,2240,2,60
2240,1229,2,180
1229,864,2,60
864,865,2,60
865,866,2,60
866,867,2,60
867,129,2,300
2575,2574,2,120
2574,2589,2,60
2589,2590,2,60
2590,2591,2,60
2591,2592,2,60
2592,2593,2,120
2593,2594,2,60
2594,2595,2,60
2595,2596,2,120
2596,2597,2,60
2597,2598,2,60
2598,2599,2,60
2599,2600,2,120
2600,2601,2,120
2601,2602,2,60
2602,2603,2,60
2603,2604,2,60
2604,2605,2,120
2605,2606,2,60
2606,2607,2,120
2607,2608,2,120
2608,2609,2,60
2609,2610,2,60
2610,2611,2,60
2611,2612,2,60
2612,2549,2,60
2549,2548,2,120
129,940,2,60
940,941,2,60
941,942,2,60
942,943,2,60
943,944,2,120
944,945,2,60
945,946,2,60
946,2251,2,60
2251,2252,2,60
2252,138,2,60
138,139,2,60
139,140,2,60
140,141,2,60
141,142,2,120
142,143,2,60
143,144,2,60
144,145,2,60
145,146,2,60
146,147,2,120
147,148,2,60
148,149,2,60
149,150,2,60
150,151,2,60
151,152,2,60
152,153,2,60
153,154,2,60
154,155,2,60
155,947,2,60
947,1971,2,120
1971,156,2,60
156,157,2,120
157,158,2,60
158,1972,2,60
1972,948,2,60
948,921,2,60
921,922,2,60
922,923,2,120
923,924,2,180
924,925,2,60
925,926,2,120
926,2980,2,60
2980,949,2,120
949,163,2,60
163,164,2,120
164,165,2,60
165,166,2,180
166,167,2,120
167,168,2,60
168,1973,2,60
1973,169,2,60
169,170,2,60
170,171,2,60
171,172,2,60
172,1974,2,60
1974,173,2,60
173,174,2,60
174,175,2,60
175,176,2,60
176,177,2,60
177,178,2,60
178,1975,2,120
1975,188,2,240
188,189,2,60
189,190,2,60
190,191,2,120
191,192,2,60
192,194,2,120
194,195,2,120
195,196,2,60
196,197,2,60
197,198,2,60
198,954,2,60
954,199,2,60
199,1976,2,60
1976,200,2,60
200,201,2,60
201,202,2,60
202,1977,2,60
1977,203,2,180
203,1978,2,60
1978,204,2,60
204,1979,2,60
1979,205,2,60
205,206,2,120
206,45,2,60
45,46,2,60
1284,1285,2,60
1287,1288,2,120
1288,1289,2,60
1289,1290,2,120
1290,1291,2,60
1291,1292,2,120
1292,1293,2,180
1293,1294,2,120
1294,1295,2,120
1295,1296,2,60
1296,1297,2,60
1297,1298,2,60
1298,1299,2,60
1299,1300,2,120
1300,1301,2,60
1301,2446,2,120
2446,2447,2,60
2447,1302,2,120
1302,1303,2,60
1303,1304,2,60
1304,1305,2,60
1305,1306,2,60
1306,1307,2,120
1307,1308,2,120
1308,1309,2,120
1309,1310,2,60
1310,1311,2,180
1311,1312,2,120
1312,1313,2,60
1313,1314,2,120
1314,1315,2,60
1315,1316,2,60
1316,1317,2,60
1317,1318,2,60
1318,1319,2,180
1319,1320,2,120
1320,1321,2,120
1321,1322,2,60
1322,1323,2,60
1323,1324,2,60
1324,1325,2,120
1325,1326,2,60
1326,1327,2,120
1327,1328,2,60
1328,1329,2,60
1329,1330,2,60
1330,1331,2,60
1331,1332,2,60
1332,1333,2,60
1333,1334,2,60
1334,1335,2,60
1335,1336,2,60
1336,1337,2,60
1337,1338,2,60
1338,1339,2,120
1339,1340,2,120
1340,1341,2,60
1341,1342,2,120
1342,1343,2,60
1343,1344,2,120
1344,1345,2,60
1345,1346,2,60
1346,1347,2,180
1347,1348,2,120
1348,1349,2,120
1349,1350,2,60
1350,1351,2,120
1351,1352,2,300
1352,1353,2,60
1353,1354,2,60
1354,1355,2,120
1355,1356,2,60
1356,1908,2,60
1908,1909,2,60
1909,1910,2,60
1910,1911,2,60
1911,1912,2,60
1912,1361,2,60
1361,1362,2,60
1362,1363,2,60
1363,1364,2,60
1364,1365,2,60
1365,1366,2,60
1366,1367,2,60
1367,1368,2,60
94,95,2,120
95,96,2,60
96,97,2,60
97,98,2,60
98,99,2,60
99,100,2,60
100,101,2,120
101,86,2,180
86,85,2,120
85,102,2,60
102,103,2,60
103,104,2,60
104,105,2,60
105,106,2,120
106,107,2,60
107,108,2,60
108,109,2,60
109,110,2,60
110,111,2,60
111,112,2,60
112,113,2,120
113,114,2,120
114,115,2,60
115,116,2,60
116,117,2,240
117,118,2,60
118,119,2,60
119,66,2,360
66,120,2,60
120,121,2,120
121,122,2,60
122,123,2,60
123,124,2,60
124,125,2,120
125,126,2,120
126,285,2,120
285,127,2,120
127,128,2,60
128,2716,2,60
2716,2528,2,60
2528,2529,2,120
2529,2530,2,120
1585,1583,2,60
1583,2576,2,120
2576,2577,2,180
2577,2578,2,60
2578,2579,2,120
2579,2580,2,60
2580,2581,2,60
2581,2582,2,60
2582,2583,2,60
2583,2584,2,60
2584,2585,2,60
2585,2586,2,60
2586,1708,2,120
1708,1726,2,60
1726,1727,2,60
1727,1728,2,60
1728,1729,2,60
1729,1730,2,60
1730,1731,2,60
1731,1732,2,60
1732,1733,2,60
1733,1734,2,120
1734,1735,2,60
1735,1736,2,60
1736,1737,2,60
1737,1738,2,60
1738,1739,2,60
1739,1740,2,60
1740,1741,2,60
1741,1742,2,120
1742,1743,2,60
1743,1744,2,60
1744,1745,2,60
1745,1746,2,120
1746,1747,2,120
1747,1685,2,180
1685,1748,2,120
1748,1749,2,120
1749,1750,2,60
1750,1751,2,60
1751,1752,2,180
1752,1753,2,120
1753,1754,2,120
1754,1755,2,60
1755,1756,2,120
1756,2587,2,60
2587,1757,2,120
1757,1758,2,60
1758,1759,2,60
1759,1760,2,180
1760,2588,2,60
2588,1761,2,60
1761,1670,2,180
1670,1762,2,120
1762,1763,2,120
1763,1764,2,120
1764,1765,2,120
1765,1766,2,60
1766,1767,2,60
1767,1768,2,120
1768,1769,2,300
1769,1770,2,120
1770,1771,2,60
1771,1772,2,120
1772,1773,2,120
1773,1774,2,180
1774,1775,2,180
1775,1776,2,120
1776,1777,2,60
1777,1778,2,60
1778,1779,2,180
1779,1780,2,120
1780,1649,2,120
1649,1781,2,120
1781,1647,2,60
377,378,2,180
378,379,2,120
379,380,2,120
380,381,2,60
381,382,2,120
382,383,2,120
383,384,2,60
384,385,2,60
385,386,2,60
386,387,2,60
387,388,2,120
388,389,2,120
389,390,2,60
390,391,2,60
391,392,2,120
392,393,2,60
393,394,2,60
394,395,2,60
395,396,2,60
396,333,2,60
333,334,2,120
334,335,2,60
335,336,2,120
442,443,2,120
443,444,2,120
444,445,2,180
445,446,2,120
446,447,2,60
447,2717,2,60
2717,448,2,60
448,449,2,60
449,433,2,180
433,450,2,120
450,451,2,60
451,452,2,120
452,2718,2,120
2718,453,2,120
453,454,2,60
454,455,2,60
455,456,2,120
456,457,2,60
457,458,2,60
458,459,2,60
459,460,2,60
460,461,2,120
461,462,2,60
462,463,2,60
463,464,2,60
464,465,2,60
465,466,2,60
466,467,2,60
467,468,2,60
468,469,2,60
469,333,2,60
1585,1587,2,180
1587,1588,2,180
1588,1589,2,60
1589,1590,2,120
1590,1591,2,120
1591,1592,2,120
1592,1593,2,60
1593,1594,2,60
1594,1595,2,60
1595,1596,2,60
1596,1597,2,120
1597,1598,2,60
1598,1599,2,120
1599,1600,2,60
1600,1601,2,120
1601,1602,2,120
1602,1603,2,120
1603,1604,2,120
1604,1605,2,60
1605,1606,2,120
1606,1607,2,120
1607,1608,2,60
1608,1609,2,120
1609,1610,2,180
1610,1611,2,120
1611,1612,2,120
1612,1613,2,120
1613,1614,2,60
1614,1615,2,120
1615,1616,2,180
1616,1617,2,120
1617,2309,2,120
2309,1618,2,60
1618,1619,2,60
1619,1620,2,60
1620,1621,2,60
1621,1622,2,60
1622,1623,2,180
1623,1624,2,180
1624,1625,2,180
1625,1626,2,120
1626,1627,2,60
1627,1628,2,120
1628,1629,2,120
1629,1630,2,60
1630,1631,2,120
1631,1632,2,120
1632,1633,2,60
1633,1787,2,120
1787,1634,2,60
1634,1635,2,120
1635,1636,2,60
1636,1637,2,60
1637,2132,2,120
2132,1638,2,120
1638,1639,2,60
1639,1640,2,60
1640,1641,2,120
1641,1642,2,120
1642,1643,2,120
1646,2274,2,120
2310,2311,2,180
2311,2312,2,120
2312,2313,2,120
2313,2314,2,60
2314,2315,2,60
2315,2316,2,60
2316,2317,2,60
2317,2318,2,60
2318,2319,2,60
2319,2320,2,60
2320,2321,2,60
2321,2322,2,60
2322,1028,2,120
1028,1029,2,60
1029,1030,2,60
1030,1031,2,60
1031,1032,2,120
1032,1033,2,120
1033,1034,2,120
1034,1035,2,60
1035,1036,2,60
1036,1037,2,120
1037,1038,2,120
1038,1014,2,60
1014,1015,2,60
1015,2323,2,120
2323,1016,2,60
1016,1013,2,180
1013,1039,2,60
1039,1040,2,60
1040,1041,2,60
1041,1042,2,120
1042,1043,2,60
1043,1044,2,60
25,24,2,120
24,26,2,240
26,27,2,60
27,28,2,180
28,29,2,60
29,30,2,60
30,31,2,60
31,32,2,120
32,2253,2,240
2253,33,2,60
33,34,2,60
34,35,2,60
35,1968,2,60
1968,36,2,60
36,1969,2,120
1969,37,2,120
37,1970,2,60
1970,38,2,60
38,39,2,60
39,40,2,60
40,812,2,60
812,41,2,60
41,42,2,60
42,813,2,60
813,814,2,60
814,815,2,60
815,816,2,120
816,207,2,60
701,702,2,120
702,703,2,120
703,704,2,120
704,705,2,60
705,706,2,60
706,707,2,120
707,708,2,60
708,709,2,60
709,710,2,120
710,711,2,60
711,712,2,60
712,713,2,60
713,714,2,60
714,715,2,120
715,716,2,60
716,717,2,60
717,718,2,60
718,719,2,120
719,720,2,60
720,721,2,60
721,722,2,240
722,723,2,60
723,724,2,120
724,725,2,60
725,726,2,120
726,727,2,120
727,728,2,60
728,729,2,120
729,1925,2,180
1925,1926,2,60
1926,730,2,120
730,731,2,180
731,732,2,60
732,733,2,60
733,734,2,60
734,735,2,60
735,736,2,60
736,737,2,60
737,630,2,60
630,631,2,60
631,632,2,60
632,633,2,60
633,634,2,60
634,556,2,60
556,635,2,180
635,636,2,60
336,337,2,180
337,338,2,120
338,339,2,180
339,340,2,60
340,341,2,60
341,342,2,60
342,343,2,60
343,344,2,60
344,345,2,60
345,346,2,60
346,347,2,60
347,348,2,120
348,349,2,60
349,350,2,60
350,351,2,60
351,352,2,60
