route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
244,1,1,,,1,1,1,
315,2,2,,,0,2,2,
161,3,3,,,0,3,3,
233,4,4,,,1,4,4,
167,5,5,,,1,5,5,
233,6,6,,,1,6,4,
316,7,7,,,1,7,6,
307,8,8,,,1,8,7,
259,9,9,,,0,9,8,
336,10,10,,,0,10,9,
237,11,11,,,1,11,10,
291,12,12,,,0,12,11,
258,13,13,,,1,13,12,
18,14,14,,,0,14,13,
167,15,15,,,1,15,5,
280,16,16,,,0,16,14,
225,17,17,,,1,17,15,
324,18,18,,,1,18,16,
245,19,19,,,0,19,17,
210,20,20,,,0,20,18,
295,21,21,,,0,21,19,
307,22,22,,,1,22,7,
303,23,23,,,0,23,20,
291,24,24,,,0,24,11,
208,25,25,,,1,25,21,
320,26,26,,,0,7,22,
186,27,27,,,0,26,23,
208,28,28,,,1,25,21,
19,29,29,,,1,27,24,
318,30,30,,,0,28,25,
233,31,31,,,1,29,4,
307,32,32,,,1,30,7,
249,33,33,,,0,4,26,
332,34,34,,,0,31,27,
109,35,35,,,0,32,28,
185,36,36,,,1,33,29,
332,37,37,,,0,34,27,
295,38,38,,,0,16,19,
307,39,39,,,1,30,7,
332,40,40,,,0,35,27,
314,41,41,,,1,2,30,
144,42,42,,,0,36,31,
324,43,43,,,1,18,16,
228,44,44,,,1,37,32,
290,45,45,,,1,38,33,
303,46,46,,,0,39,20,
23,47,47,,,1,40,34,
233,48,48,,,1,41,4,
267,49,49,,,0,42,35,
256,50,50,,,0,43,36,
290,51,51,,,1,44,33,
280,52,52,,,0,45,14,
314,53,53,,,1,46,30,
335,54,54,,,1,31,37,
326,55,55,,,0,47,38,
280,56,56,,,0,45,14,
19,57,57,,,1,45,24,
255,58,58,,,1,28,39,
307,59,59,,,1,48,7,
307,60,60,,,1,48,7,
330,61,61,,,1,49,40,
323,62,62,,,0,50,41,
23,63,63,,,1,51,34,
307,64,64,,,1,22,7,
258,65,65,,,1,52,12,
180,66,66,,,0,8,42,
249,67,67,,,0,41,26,
307,68,68,,,1,53,7,
232,69,69,,,0,46,43,
209,70,70,,,0,41,44,
335,71,71,,,1,31,37,
290,72,72,,,1,33,33,
24,73,73,,,1,54,45,
314,74,74,,,1,55,30,
337,75,75,,,1,56,46,
313,76,76,,,0,57,47,
313,77,77,,,0,28,47,
291,78,78,,,0,58,11,
280,79,79,,,0,44,14,
23,80,80,,,1,59,34,
217,81,81,,,1,60,48,
208,82,82,,,1,61,21,
259,83,83,,,0,62,8,
151,84,84,,,1,4,49,
275,85,85,,,1,27,50,
341,86,86,,,1,9,51,
167,87,87,,,1,63,5,
167,88,88,,,1,63,5,
290,89,89,,,1,64,33,
233,90,90,,,1,65,4,
19,91,91,,,1,66,24,
241,92,92,,,1,67,52,
330,93,93,,,1,68,40,
228,94,94,,,1,69,32,
147,95,95,,,1,70,53,
209,96,96,,,0,61,44,
208,97,97,,,1,61,21,
232,98,98,,,0,71,43,
228,99,99,,,1,19,32,
23,100,100,,,1,40,34,
250,101,101,,,1,36,54,
255,102,102,,,1,36,39,
280,103,103,,,0,26,14,
318,104,104,,,0,28,25,
150,105,105,,,0,72,55,
271,106,106,,,1,42,56,
233,107,107,,,1,41,4,
109,108,108,,,0,73,28,
240,109,109,,,1,74,57,
288,110,110,,,1,75,58,
297,111,111,,,0,76,59,
186,112,112,,,0,66,23,
315,113,113,,,0,2,2,
253,114,114,,,0,67,60,
323,115,115,,,0,77,41,
315,116,116,,,0,78,2,
299,117,117,,,0,75,61,
18,118,118,,,0,79,13,
326,119,119,,,0,80,38,
19,120,120,,,1,81,24,
314,121,121,,,1,55,30,
233,122,122,,,1,6,4,
186,123,123,,,0,64,23,
217,124,124,,,1,60,48,
249,125,125,,,0,82,26,
161,126,126,,,0,82,3,
302,127,127,,,1,12,62,
168,128,128,,,1,83,63,
324,129,129,,,1,77,16,
147,130,130,,,1,70,53,
332,131,131,,,0,35,27,
147,132,132,,,1,4,53,
275,133,133,,,1,33,50,
233,134,134,,,1,72,4,
313,135,135,,,0,84,47,
233,136,136,,,1,4,4,
288,137,137,,,1,85,58,
255,138,138,,,1,86,39,
292,139,139,,,1,85,64,
262,140,140,,,0,13,65,
240,141,141,,,1,74,57,
208,142,142,,,1,87,21,
128,143,143,,,0,88,66,
288,144,144,,,1,89,58,
161,145,145,,,0,90,3,
249,146,146,,,0,41,26,
233,147,147,,,1,41,4,
314,148,148,,,1,91,30,
255,149,149,,,1,92,39,
255,150,150,,,1,93,39,
326,151,151,,,0,94,38,
315,152,152,,,0,46,2,
180,153,153,,,0,22,42,
228,154,154,,,1,95,32,
228,155,155,,,1,96,32,
249,156,156,,,0,6,26,
292,157,157,,,1,39,64,
233,158,158,,,1,6,4,
255,159,159,,,1,91,39,
336,160,160,,,0,97,9,
280,161,161,,,0,45,14,
255,162,162,,,1,98,39,
217,163,163,,,1,20,48,
250,164,164,,,1,99,54,
304,165,165,,,1,100,67,
244,166,166,,,1,101,1,
208,167,167,,,1,4,21,
171,168,168,,,1,3,68,
144,169,169,,,0,36,31,
336,170,170,,,0,37,9,
337,171,171,,,1,56,46,
262,172,172,,,0,102,65,
233,173,173,,,1,84,4,
297,174,174,,,0,103,59,
240,175,175,,,1,74,57,
22,176,176,,,0,59,69,
144,177,177,,,0,90,31,
171,178,178,,,1,15,68,
145,179,179,,,1,63,70,
323,180,180,,,0,18,41,
242,181,181,,,1,29,71,
307,182,182,,,1,30,7,
180,183,183,,,0,104,42,
250,184,184,,,1,67,54,
311,185,185,,,0,57,72,
19,186,186,,,1,81,24,
323,187,187,,,0,50,41,
337,188,188,,,1,69,46,
299,189,189,,,0,75,61,
275,190,190,,,1,45,50,
151,191,191,,,1,90,49,
259,192,192,,,0,9,8,
337,193,193,,,1,100,46,
280,194,194,,,0,105,14,
268,195,195,,,1,84,73,
242,196,196,,,1,90,71,
324,197,197,,,1,18,16,
297,198,198,,,0,106,59,
151,199,199,,,1,93,49,
341,200,200,,,1,107,51,
245,201,201,,,0,19,17,
127,202,202,,,1,3,74,
325,203,203,,,1,108,75,
233,204,204,,,1,57,4,
250,205,205,,,1,4,54,
114,206,206,,,1,73,76,
293,207,207,,,0,49,77,
22,208,208,,,0,40,69,
318,209,209,,,0,86,25,
299,210,210,,,0,39,61,
250,211,211,,,1,29,54,
253,212,212,,,0,67,60,
167,213,213,,,1,3,5,
297,214,214,,,0,109,59,
258,215,215,,,1,110,12,
232,216,216,,,0,71,43,
326,217,217,,,0,111,38,
185,218,218,,,1,112,29,
18,219,219,,,0,113,13,
209,220,220,,,0,25,44,
311,221,221,,,0,114,72,
249,222,222,,,0,82,26,
295,223,223,,,0,21,19,
114,224,224,,,1,32,76,
167,225,225,,,1,5,5,
19,226,226,,,1,27,24,
322,227,227,,,1,115,78,
251,228,228,,,0,116,79,
313,229,229,,,0,92,47,
240,230,230,,,1,71,57,
171,231,231,,,1,65,68,
185,232,232,,,1,44,29,
255,233,233,,,1,114,39,
288,234,234,,,1,12,58,
290,235,235,,,1,16,33,
237,236,236,,,1,117,10,
161,237,237,,,0,15,3,
228,238,238,,,1,96,32,
249,239,239,,,0,6,26,
315,240,240,,,0,46,2,
128,241,241,,,0,36,66,
290,242,242,,,1,26,33,
275,243,243,,,1,45,50,
208,244,244,,,1,61,21,
259,245,245,,,0,107,8,
280,246,246,,,0,66,14,
295,247,247,,,0,118,19,
208,248,248,,,1,4,21,
255,249,249,,,1,98,39,
314,250,250,,,1,46,30,
232,251,251,,,0,101,43,
295,252,252,,,0,21,19,
19,253,253,,,1,113,24,
209,254,254,,,0,87,44,
31,255,255,,,1,119,80,
161,256,256,,,0,90,3,
109,257,257,,,0,32,28,
161,258,258,,,0,74,3,
249,259,259,,,0,6,26,
318,260,260,,,0,98,25,
288,261,261,,,1,89,58,
288,262,262,,,1,120,58,
330,263,263,,,1,121,40,
330,264,264,,,1,68,40,
253,265,265,,,0,36,60,
209,266,266,,,0,25,44,
244,267,267,,,1,1,1,
180,268,268,,,0,22,42,
167,269,269,,,1,15,5,
224,270,270,,,0,122,81,
256,271,271,,,0,123,36,
225,272,272,,,1,124,15,
233,273,273,,,1,41,4,
288,274,274,,,1,75,58,
208,275,275,,,1,25,21,
292,276,276,,,1,12,64,
258,277,277,,,1,13,12,
147,278,278,,,1,88,53,
147,279,279,,,1,70,53,
242,280,280,,,1,65,71,
335,281,281,,,1,125,37,
275,282,282,,,1,66,50,
18,283,283,,,0,113,13,
19,284,284,,,1,81,24,
209,285,285,,,0,61,44,
249,286,286,,,0,6,26,
24,287,287,,,1,126,45,
280,288,288,,,0,27,14,
303,289,289,,,0,120,20,
68,290,290,,,1,127,82,
109,291,291,,,0,73,28,
167,292,292,,,1,3,5,
341,293,293,,,1,62,51,
245,294,294,,,0,96,17,
325,295,295,,,1,47,75,
324,296,296,,,1,50,16,
315,297,297,,,0,91,2,
145,298,298,,,1,72,70,
168,299,299,,,1,128,63,
210,300,300,,,0,129,18,
249,301,301,,,0,29,26,
250,302,302,,,1,99,54,
217,303,303,,,1,20,48,
275,304,304,,,1,38,50,
18,305,305,,,0,21,13,
180,306,306,,,0,112,42,
144,307,307,,,0,6,31,
316,308,308,,,1,130,6,
24,309,309,,,1,131,45,
160,310,310,,,0,132,83,
337,311,311,,,1,133,46,
128,312,312,,,0,91,66,
161,313,313,,,0,70,3,
147,314,314,,,1,70,53,
209,315,315,,,0,134,44,
208,316,316,,,1,87,21,
336,317,317,,,0,69,9,
307,318,318,,,1,135,7,
292,319,319,,,1,89,64,
256,320,320,,,0,136,36,
292,321,321,,,1,23,64,
303,322,322,,,0,12,20,
313,323,323,,,0,57,47,
302,324,324,,,1,23,62,
244,325,325,,,1,71,1,
210,326,326,,,0,60,18,
151,327,327,,,1,29,49,
180,328,328,,,0,22,42,
167,329,329,,,1,15,5,
127,330,330,,,1,137,74,
320,331,331,,,0,120,22,
171,332,332,,,1,90,68,
242,333,333,,,1,65,71,
150,334,334,,,0,63,55,
314,335,335,,,1,55,30,
217,336,336,,,1,20,48,
321,337,337,,,0,115,84,
225,338,338,,,1,136,15,
23,339,339,,,1,138,34,
18,340,340,,,0,81,13,
318,341,341,,,0,114,25,
337,342,342,,,1,133,46,
209,343,343,,,0,87,44,
290,344,344,,,1,66,33,
318,345,345,,,0,98,25,
291,346,346,,,0,139,11,
297,347,347,,,0,103,59,
233,348,348,,,1,57,4,
249,349,349,,,0,65,26,
180,350,350,,,0,48,42,
293,351,351,,,0,68,77,
249,352,352,,,0,41,26,
109,353,353,,,0,32,28,
280,354,354,,,0,14,14,
185,355,355,,,1,64,29,
275,356,356,,,1,118,50,
171,357,357,,,1,90,68,
244,358,358,,,1,101,1,
320,359,359,,,0,58,22,
171,360,360,,,1,70,68,
241,361,361,,,1,57,52,
324,362,362,,,1,77,16,
147,363,363,,,1,99,53,
275,364,364,,,1,45,50,
171,365,365,,,1,74,68,
145,366,366,,,1,72,70,
